"cycle_id","started","ended","duration_sec","status","step_count","notes"

"CYCLE-20260603-184919","2026-06-03T18:49:19.3953179+10:00","2026-06-03T18:51:05.5143128+10:00","106.12","WARN","9","Operation cycle completed."
"CYCLE-20260603-195007","2026-06-03T19:50:07.6160881+10:00","2026-06-03T19:52:14.4652132+10:00","126.85","WARN","9","Operation cycle completed."
"CYCLE-20260603-195836","2026-06-03T19:58:36.9178203+10:00","2026-06-03T19:58:47.2884253+10:00","10.37","WARN","9","Operation cycle completed."
"CYCLE-20260603-204857","2026-06-03T20:48:57.7133095+10:00","2026-06-03T20:49:08.5090511+10:00","10.8","WARN","9","Operation cycle completed."
"CYCLE-20260710-011219","2026-07-10T01:12:19.5383055+10:00","2026-07-10T01:12:27.7628634+10:00","8.22","FAIL","9","Operation cycle completed."
"CYCLE-20260710-011318","2026-07-10T01:13:18.8576775+10:00","2026-07-10T01:13:26.0572827+10:00","7.2","PASS","9","Operation cycle completed."
"CYCLE-20260710-012112","2026-07-10T01:21:12.8133182+10:00","2026-07-10T01:21:19.4892377+10:00","6.68","PASS","9","Operation cycle completed."
"CYCLE-20260710-013013","2026-07-10T01:30:13.2847256+10:00","2026-07-10T01:30:19.8932620+10:00","6.61","PASS","9","Operation cycle completed."
